trait_id	file_path	trait_name	n
ukb-b-14814	/local-scratch/data/opengwas/igd/ukb-b-14814/ukb-b-14814.vcf.gz	Diagnoses - main ICD10: K30 Dyspepsia	463010
ukb-b-14829	/local-scratch/data/opengwas/igd/ukb-b-14829/ukb-b-14829.vcf.gz	Diagnoses - secondary ICD10: Z90.4 Acquired absence of other parts of digestive tract	463010
ukb-b-14847	/local-scratch/data/opengwas/igd/ukb-b-14847/ukb-b-14847.vcf.gz	Operative procedures - secondary OPCS: P27.3 Colposcopy of vagina	463010
ukb-b-14852	/local-scratch/data/opengwas/igd/ukb-b-14852/ukb-b-14852.vcf.gz	Treatment speciality of consultant (recoded): Infectious diseases	444018
ukb-b-14863	/local-scratch/data/opengwas/igd/ukb-b-14863/ukb-b-14863.vcf.gz	Mineral and other dietary supplements: Iron	461384
ukb-b-14873	/local-scratch/data/opengwas/igd/ukb-b-14873/ukb-b-14873.vcf.gz	Operative procedures - secondary OPCS: Z48.2 Skin of neck	463010
ukb-b-14885	/local-scratch/data/opengwas/igd/ukb-b-14885/ukb-b-14885.vcf.gz	Operative procedures - main OPCS: X70.2 Procurement of drugs for chemotherapy for neoplasm for regimens in Band 2	463010
ukb-b-1489	/local-scratch/data/opengwas/igd/ukb-b-1489/ukb-b-1489.vcf.gz	Cheese intake	451486
ukb-b-14898	/local-scratch/data/opengwas/igd/ukb-b-14898/ukb-b-14898.vcf.gz	Water intake	427588
ukb-b-14905	/local-scratch/data/opengwas/igd/ukb-b-14905/ukb-b-14905.vcf.gz	Age at bilateral oophorectomy (both ovaries removed)	19621
ukb-b-14918	/local-scratch/data/opengwas/igd/ukb-b-14918/ukb-b-14918.vcf.gz	Illnesses of siblings: Severe depression	362315
ukb-b-14926	/local-scratch/data/opengwas/igd/ukb-b-14926/ukb-b-14926.vcf.gz	Types of transport used (excluding work): Walk	460491
ukb-b-14944	/local-scratch/data/opengwas/igd/ukb-b-14944/ukb-b-14944.vcf.gz	Operation code: appendicectomy	462933
ukb-b-14956	/local-scratch/data/opengwas/igd/ukb-b-14956/ukb-b-14956.vcf.gz	Type of cancer: ICD10: C54.1 Endometrium	463010
ukb-b-14960	/local-scratch/data/opengwas/igd/ukb-b-14960/ukb-b-14960.vcf.gz	Treatment/medication code: omeprazole	462933
ukb-b-14961	/local-scratch/data/opengwas/igd/ukb-b-14961/ukb-b-14961.vcf.gz	Other serious medical condition/disability diagnosed by doctor	454253
ukb-b-14977	/local-scratch/data/opengwas/igd/ukb-b-14977/ukb-b-14977.vcf.gz	Bread consumed	64949
ukb-b-14999	/local-scratch/data/opengwas/igd/ukb-b-14999/ukb-b-14999.vcf.gz	Diagnoses - main ICD10: K92.2 Gastro-intestinal haemorrhage, unspecified	463010
ukb-b-15003	/local-scratch/data/opengwas/igd/ukb-b-15003/ukb-b-15003.vcf.gz	Diagnoses - main ICD10: L72.0 Epidermal cyst	463010
ukb-b-15005	/local-scratch/data/opengwas/igd/ukb-b-15005/ukb-b-15005.vcf.gz	Transport type for commuting to job workplace: Walk	245364
ukb-b-15021	/local-scratch/data/opengwas/igd/ukb-b-15021/ukb-b-15021.vcf.gz	Operative procedures - main OPCS: X72.4 Delivery of subsequent element of cycle of chemotherapy for neoplasm	463010
ukb-b-15025	/local-scratch/data/opengwas/igd/ukb-b-15025/ukb-b-15025.vcf.gz	Non-cancer illness code, self-reported: ovarian cyst or cysts	462933
ukb-b-15026	/local-scratch/data/opengwas/igd/ukb-b-15026/ukb-b-15026.vcf.gz	Diagnoses - secondary ICD10: M13.99 Arthritis, unspecified (Site unspecified)	463010
